User Action Events,App Problem Events
"* Opening the Twitter app
* Viewing pictures and videos","* Long loading times despite having a good internet connection
* Difficulty viewing videos and photos instantly like in other apps

Note: These events can be further organized into sub-groups based on their relevance to the problem at hand. For example, you could have separate groups for events related to the app's performance, user experience, or technical issues."
,
,
,
,
,
"* Opening the app
* Scrolling down to see tweets not previously seen
* Preferring the previous behavior of the feed staying at the position left when closing the app","* Violating user expectations by automatically refreshing to the top of the feed every time the app is opened
* Failing to maintain the user's preferred feed position when closing and reopening the app"
,
,
,
"Events:



* Opening the app
* Looking for notification bell
* Seeing a limited number of notifications in the app compared to the number of notifications on the phone","* Loading issue with past notifications
* Inconsistency between push notifications and in-app notifications
* Failure to display all notifications in the app

Note: These events are organized into related groups based on their context and purpose. The first group, [User Action Events], represents the actions taken by the user when interacting with the app. The second group,"
,
,
,
,
,
,
,
,
,
"* Interacting with the app without changing any settings
* Receiving pop-up notifications asking for authentication codes without requesting them
* Clicking OK on a pop-up by mistake and being signed out","* Violating user expectations by requesting authentication codes without permission
* Failing to recognize that the user did not request the code
* Signing the user out unexpectedly after clicking OK on a pop-up."
,
,
,
,
,
,
"Events:



* Migrated from iOS to Android
* Opened WhatsApp on Android
* Experienced poor image and video compression quality
* Expressed disappointment with the app's performance on Android","* Images and videos look horrible after compression
* Messages still don't show up after backup

These events can be organized into related groups:

User Action Events:

* Migration to Android
* Opening WhatsApp on Android
* Disappointment with app performance on Android

App Problem Events:

* Poor image and video compression quality
* Messages not showing up after backup"
,
,
"* Interacting with the app
* Disabling notifications for the inactive account and the whole app","* The inactive account continues to send notifications even after disabling notifications
* The app violates user expectations by sending unnecessary notifications"
"* Sending pictures
* Switching between accounts","* Bugs related to switching between accounts (4 times)
* Not being able to send pictures for anyone"
":

* Making calls
* Being taken to the home screen after making a call
* Receiving an error message saying the person is on another call",":

* App not functioning as expected (violating user expectations)
* Frequent occurrence of the problem (significant impact on user experience)
* Negative impact on user retention and attraction (mentioned in the review)"
,
"Events:



* Calling someone
* Showing ringing when there's no internet connection on the other side
* Showing calling if there's an internet connection","* Failure to show calling if there's no internet connection on the other side
* Inability to inform user if the call is going through to another phone."
,
,
":

* The user read a message
* The user added the person they were chatting with to their contacts
* The user updated the app",":

* The blue tick did not show when the user sent a message
* The user experienced bugs while communicating
* The new update was perceived as negative by the user."
,
"* Record videos on Android
* Post video on social media",* Video quality reduction when posting on social media (both Android and iPhone)
,
"* Sending messages
* Deleting messages","* Losing deleted messages

Note: The events are organized into related groups based on their logical relationships. Within each group, the events are separated by commas."
,
,
"* Interacting with the app (e.g., updating status viewers, separating different aspects of an individual's life using lists)
* Adding a scheduling feature for channels","* Lagging or slow performance, disrupting workflows

Note: These events are organized into related groups based on the information provided in the review. The user action events describe the actions taken by the user, while the app problem events highlight undesirable behaviors or issues with the app."
,
,
,
":

* Interacting with the app (e.g., posting videos and pictures on WhatsApp)",":

* Ruining the quality of videos and pictures when posted on status
* Failure to sort out the problem for ages"
,
"* Interacting with the app (e.g., changing a notification setting)
* The app automatically changing the notification setting back to its original state
* Not receiving a chat notification despite an incoming chat message","* Undesirable behavior of the app violating user expectations (e.g., auto-changing notification settings)
* Incorrect functionality of the app (e.g., not showing a chat notification despite an incoming message)"
"* Uploading a video on WhatsApp status
* Viewing the video in question","* Automatically reducing the video quality upon upload
* Displaying the video as blurry or horrible

Note: These events have been grouped together based on their relatedness and mutual relevance to the problem at hand."
"* viewing a status
* pressing *read more*","* app getting blocked due to mistakes or misunderstanding
* new update making it hard to press *read more*"
,
,
":

* Interacting with the app (e.g., launching the app, starting a video call)
* Taking steps to resolve the issue (e.g., restarting the phone)",":

* Failure of the front camera to work properly during a video call
* Displaying the camera feed through the back camera instead of the front camera
* Previous functionality not being available or different than expected

Note: These events are just examples and may not be exact matches for the specific review given."
"* Making an audio or video call
* Data being off
* Data being on","* Ringing always showing, regardless of data status"
"* Interacting with the app (using WhatsApp)
* Sharing links
* Adding people to groups","* Account being blocked
* Loss of grades due to app issues"
,
,
,
