content,Contains User Action-App Problem,Contains keyword,,,,,,,,,,,,,,,,,,,Contains User Action-App Problem,Contains keyword
"help me to organize my schedule in one stop need (calendar, tast, notes, etc) thanks Planner Pro!",,,,,,,,,,,,,,,,,,,,,,
Why there is different icon showing of app in play store and different on my phone pls make it same,,,,,,,,,,,,,,,,,,,,,,
Great 👌,,,,,,,,,,,,,,,,,,,,,,
"Cancel means stop the action...not throw away all the notes I just made...sorry but this was suppse to save time not waste ideas and planning...poor comms from app on a normalized UI function. First go and really turned me off, could be lots more awesome, but things like this and not being able to recover the info quickly then...not acceptable when doing business tasks nowadays.",,,,,,,,,,,,,,,,,,,,,,
It seems like a good app with good features but it's not intuitive at all. I spent fifteen minutes trying to find a way to skip a repeating task this week and I could mark it done. I try deleting to see if it would delete just that occurrences but it deleted the whole thing. The icons are also not intuitive at all.,,,,,,,,,,,,,,,,,,,,,,
Nice app. I just got the pro version because it ultimately replace my daily planner book.,,,,,,,,,,,,,,,,,,,,,,
I'm changing my rating from 5 to 2. I've used this app for many years and I love it. It's a great app! But they have recently added add on videos (skippable but still 5 seconds long.. ) after you've created or closed an event in your calendar app. It's really annoying and disgusting because you don't have time watching adds when you want to add a couple of events everyday in you schedule... You've went to far Business Calendar 2...,,,,,,,,,,,,,,,,,,,,,,
"No, I don't want to try SleepTown. Yes, I'm sure I don't want to try SleepTown town. Yes, I'm absolutely sure I don't want to try SleepTown. Please stop asking that often. Thanks.",,,,,,,,,,,,,,,,,,,,,,
Does job,,,,,,,,,,,,,,,,,,,,,,
Interesting,,,,,,,,,,,,,,,,,,,,,,
"Widget is buggy - a task marked as completed in the app is displayed as overdue, and trying to tick it off in the widget takes me into edit mode. The proper app, when reopened, shows a blank inbox and revisiting the screen is required to populate it again. Poor punctuation (eg. ""28 Sep , 2017” - why the space before the comma) is not that big a deal, but also adds to the app not feeling very ""pro"".",,,,,,,,,,,,,,,,,,,,,,
I'll learn more.,0,0,,,,,,,,,,,,,,,,,,,,
"No notification is showing nor any alarm. I would have given a five, but what's the benefit if the app is not working its main functionality? I don't get any notification when the app is not running in recent apps.",,,,,,,,,,,,,,,,,,,,,,
"It is a great productivity tool, keeps you on track with everything you set out to do",,,,,,,,,,,,,,,,,,,,,,
Great app,0,0,,,,,,,,,,,,,,,,,,,,
